District,Zone,Geographical Region,Development Region,Project_title,Sector,Amount_thousandsNPR
Rasuwa,Bagmati,Mountain,Central,Livestock Service Extension Program,Farm and Food Security,12798.0
Rasuwa,Bagmati,Mountain,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,245.0
Rasuwa,Bagmati,Mountain,Central,Veterinary Health Service Program,Farm and Food Security,276.0
Rautahat,Narayani,Terai,Central,Non-formal Education & National Literacy Campaign,Education,15662.14
Rautahat,Narayani,Terai,Central,School Sector Reform Program,Education,299461.0
Rautahat,Narayani,Terai,Central,Integrated District Health Program,"Health, Nutrition and Population",100768.2
Rautahat,Narayani,Terai,Central,Tuberculosis Control,"Health, Nutrition and Population",2709.0
Rautahat,Narayani,Terai,Central,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Rautahat,Narayani,Terai,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Rautahat,Narayani,Terai,Central,National Training Program,"Health, Nutrition and Population",150.0
Rautahat,Narayani,Terai,Central,National Forest Development & Management Program,Forest and Land Conservation,9933.0
Rautahat,Narayani,Terai,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,1671.0
Rautahat,Narayani,Terai,Central,District Soil Erosion Program,Forest and Land Conservation,7826.0
Rautahat,Narayani,Terai,Central,Agricultural Extension Program,Farm and Food Security,21000.0
Rautahat,Narayani,Terai,Central,Fishery Development Program,Farm and Food Security,2650.0
Rautahat,Narayani,Terai,Central,Crop Development Program,Farm and Food Security,1297.0
Rautahat,Narayani,Terai,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5752.0
Rautahat,Narayani,Terai,Central,Livestock Service Extension Program,Farm and Food Security,17375.0
Rautahat,Narayani,Terai,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,900.0
Rautahat,Narayani,Terai,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,829.0
Rautahat,Narayani,Terai,Central,Veterinary Health Service Program,Farm and Food Security,320.0
Rolpa,Rapti,Hill,Mid-Western,Non-formal Education & National Literacy Campaign,Education,22038.95
Rolpa,Rapti,Hill,Mid-Western,School Sector Reform Program,Education,182749.0
Rolpa,Rapti,Hill,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",72262.8
Rolpa,Rapti,Hill,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",2080.0
Rolpa,Rapti,Hill,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",2665.0
Rolpa,Rapti,Hill,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Rolpa,Rapti,Hill,Mid-Western,National Training Program,"Health, Nutrition and Population",140.0
Rolpa,Rapti,Hill,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,2820.0
Rolpa,Rapti,Hill,Mid-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,7810.0
Rolpa,Rapti,Hill,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,195.0
Rolpa,Rapti,Hill,Mid-Western,District Soil Erosion Program,Forest and Land Conservation,9590.0
Rolpa,Rapti,Hill,Mid-Western,Agricultural Extension Program,Farm and Food Security,19500.0
Rolpa,Rapti,Hill,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,713.0
Rolpa,Rapti,Hill,Mid-Western,Soil Test Service Program,Farm and Food Security,1325.0
Rolpa,Rapti,Hill,Mid-Western,Fishery Development Program,Farm and Food Security,383.0
Rolpa,Rapti,Hill,Mid-Western,Crop Development Program,Farm and Food Security,1143.0
Rolpa,Rapti,Hill,Mid-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3091.0
Rolpa,Rapti,Hill,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,12276.0
Rolpa,Rapti,Hill,Mid-Western,Livestock Service Extension Program,Farm and Food Security,14075.0
Rolpa,Rapti,Hill,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1050.0
Rolpa,Rapti,Hill,Mid-Western,Community Livestock Development Project,Farm and Food Security,2254.0
Rolpa,Rapti,Hill,Mid-Western,Veterinary Health Service Program,Farm and Food Security,161.0
Rukum,Rapti,Hill,Mid-Western,Non-formal Education & National Literacy Campaign,Education,22802.06
Rukum,Rapti,Hill,Mid-Western,School Sector Reform Program,Education,208974.0
Rukum,Rapti,Hill,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",72399.9
Rukum,Rapti,Hill,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",1874.0
Rukum,Rapti,Hill,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",2665.0
Rukum,Rapti,Hill,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Rukum,Rapti,Hill,Mid-Western,National Training Program,"Health, Nutrition and Population",140.0
Rukum,Rapti,Hill,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,2920.0
Rukum,Rapti,Hill,Mid-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,9225.0
Rukum,Rapti,Hill,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,405.0
Rukum,Rapti,Hill,Mid-Western,District Soil Erosion Program,Forest and Land Conservation,9650.0
Rukum,Rapti,Hill,Mid-Western,Agricultural Extension Program,Farm and Food Security,23000.0
Rukum,Rapti,Hill,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,907.0
Rukum,Rapti,Hill,Mid-Western,Soil Test Service Program,Farm and Food Security,1325.0
Rukum,Rapti,Hill,Mid-Western,Fishery Development Program,Farm and Food Security,493.0
Rukum,Rapti,Hill,Mid-Western,Crop Development Program,Farm and Food Security,1202.0
Rukum,Rapti,Hill,Mid-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,16939.0
Rukum,Rapti,Hill,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,10133.0
Rukum,Rapti,Hill,Mid-Western,Agriculture Extension & Training Program,Farm and Food Security,0.0
Rukum,Rapti,Hill,Mid-Western,Livestock Service Extension Program,Farm and Food Security,15108.0
Rukum,Rapti,Hill,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1200.0
Rukum,Rapti,Hill,Mid-Western,Community Livestock Development Project,Farm and Food Security,2230.0
Rukum,Rapti,Hill,Mid-Western,Veterinary Health Service Program,Farm and Food Security,161.0
Rupandehi,Lumbini,Terai,Western,Non-formal Education & National Literacy Campaign,Education,16684.87
Rupandehi,Lumbini,Terai,Western,School Sector Reform Program,Education,314127.0
Rupandehi,Lumbini,Terai,Western,Integrated District Health Program,"Health, Nutrition and Population",181153.0
Rupandehi,Lumbini,Terai,Western,Tuberculosis Control,"Health, Nutrition and Population",2837.0
Rupandehi,Lumbini,Terai,Western,Ayurveda Service Program,"Health, Nutrition and Population",3565.0
Rupandehi,Lumbini,Terai,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Rupandehi,Lumbini,Terai,Western,National Training Program,"Health, Nutrition and Population",120.0
Rupandehi,Lumbini,Terai,Western,National Forest Development & Management Program,Forest and Land Conservation,3455.0
Rupandehi,Lumbini,Terai,Western,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,408.0
Rupandehi,Lumbini,Terai,Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,21860.0
Rupandehi,Lumbini,Terai,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,317.0
Rupandehi,Lumbini,Terai,Western,District Soil Erosion Program,Forest and Land Conservation,7862.0
Rupandehi,Lumbini,Terai,Western,Agricultural Extension Program,Farm and Food Security,21200.0
Rupandehi,Lumbini,Terai,Western,Integrated Water Resource Management Project,Farm and Food Security,2120.0
Rupandehi,Lumbini,Terai,Western,Fishery Development Program,Farm and Food Security,25443.0
Rupandehi,Lumbini,Terai,Western,Crop Development Program,Farm and Food Security,15622.0
Rupandehi,Lumbini,Terai,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3278.0
Rupandehi,Lumbini,Terai,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5977.0
Rupandehi,Lumbini,Terai,Western,Horiculture Development Program,Farm and Food Security,700.0
Rupandehi,Lumbini,Terai,Western,Crop Protection and Pesticide Development,Farm and Food Security,7109.0
Rupandehi,Lumbini,Terai,Western,Livestock Service Extension Program,Farm and Food Security,19212.0
Rupandehi,Lumbini,Terai,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1950.0
Rupandehi,Lumbini,Terai,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,2990.0
Rupandehi,Lumbini,Terai,Western,Veterinary Health Service Program,Farm and Food Security,8098.0
Rupandehi,Lumbini,Terai,Western,Food Nutrition and Technology Program,Farm and Food Security,8038.0
Salyan,Rapti,Hill,Mid-Western,Non-formal Education & National Literacy Campaign,Education,15113.36
Salyan,Rapti,Hill,Mid-Western,School Sector Reform Program,Education,211426.0
Salyan,Rapti,Hill,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",85112.0
Salyan,Rapti,Hill,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",1984.0
Salyan,Rapti,Hill,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",2670.0
Salyan,Rapti,Hill,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Salyan,Rapti,Hill,Mid-Western,National Training Program,"Health, Nutrition and Population",150.0
Salyan,Rapti,Hill,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,747.0
Salyan,Rapti,Hill,Mid-Western,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2468.0
Salyan,Rapti,Hill,Mid-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,10744.0
Salyan,Rapti,Hill,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,399.0
Salyan,Rapti,Hill,Mid-Western,District Soil Erosion Program,Forest and Land Conservation,9897.0
Salyan,Rapti,Hill,Mid-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,1427.0
Salyan,Rapti,Hill,Mid-Western,Botanical Study & Research Program,Forest and Land Conservation,416.0
Salyan,Rapti,Hill,Mid-Western,Botanical Conservation & Park Development Project,Forest and Land Conservation,680.0
Salyan,Rapti,Hill,Mid-Western,Botanical Utilization & Marketing Program,Forest and Land Conservation,724.0
Salyan,Rapti,Hill,Mid-Western,Agricultural Extension Program,Farm and Food Security,18800.0
Salyan,Rapti,Hill,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,1800.0
Salyan,Rapti,Hill,Mid-Western,Soil Test Service Program,Farm and Food Security,1325.0
Salyan,Rapti,Hill,Mid-Western,Fishery Development Program,Farm and Food Security,283.0
Salyan,Rapti,Hill,Mid-Western,Crop Development Program,Farm and Food Security,1636.0
Salyan,Rapti,Hill,Mid-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2185.0
Salyan,Rapti,Hill,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,8305.0
Salyan,Rapti,Hill,Mid-Western,Livestock Service Extension Program,Farm and Food Security,15587.0
Salyan,Rapti,Hill,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1300.0
Salyan,Rapti,Hill,Mid-Western,Community Livestock Development Project,Farm and Food Security,2249.0
Salyan,Rapti,Hill,Mid-Western,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,2086.0
Salyan,Rapti,Hill,Mid-Western,Veterinary Health Service Program,Farm and Food Security,161.0
Sankhuwasabha,Kosi,Mountain,Eastern,Non-formal Education & National Literacy Campaign,Education,2012.06
Sankhuwasabha,Kosi,Mountain,Eastern,School Sector Reform Program,Education,176187.0
Sankhuwasabha,Kosi,Mountain,Eastern,Integrated District Health Program,"Health, Nutrition and Population",125802.0
Sankhuwasabha,Kosi,Mountain,Eastern,Tuberculosis Control,"Health, Nutrition and Population",1736.0
Sankhuwasabha,Kosi,Mountain,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Sankhuwasabha,Kosi,Mountain,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",3800.0
Sankhuwasabha,Kosi,Mountain,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Sankhuwasabha,Kosi,Mountain,Eastern,National Forest Development & Management Program,Forest and Land Conservation,430.0
Sankhuwasabha,Kosi,Mountain,Eastern,District Soil Erosion Program,Forest and Land Conservation,9513.0
Sankhuwasabha,Kosi,Mountain,Eastern,Multi Stakeholders Forestry Program,Forest and Land Conservation,13427.0
Sankhuwasabha,Kosi,Mountain,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,536.0
Sankhuwasabha,Kosi,Mountain,Eastern,Wildlife Conservation Project,Forest and Land Conservation,26990.0
Sankhuwasabha,Kosi,Mountain,Eastern,Agricultural Extension Program,Farm and Food Security,18100.0
Sankhuwasabha,Kosi,Mountain,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3045.0
Sankhuwasabha,Kosi,Mountain,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,8229.0
Sankhuwasabha,Kosi,Mountain,Eastern,Livestock Service Extension Program,Farm and Food Security,15276.0
Sankhuwasabha,Kosi,Mountain,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,800.0
Sankhuwasabha,Kosi,Mountain,Eastern,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,245.0
Sankhuwasabha,Kosi,Mountain,Eastern,Veterinary Health Service Program,Farm and Food Security,590.0
Saptari,Sagarmatha,Terai,Eastern,Non-formal Education & National Literacy Campaign,Education,15872.28
Saptari,Sagarmatha,Terai,Eastern,School Sector Reform Program,Education,268085.0
Saptari,Sagarmatha,Terai,Eastern,Integrated District Health Program,"Health, Nutrition and Population",123647.0
Saptari,Sagarmatha,Terai,Eastern,Tuberculosis Control,"Health, Nutrition and Population",2517.0
Saptari,Sagarmatha,Terai,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",3865.0
Saptari,Sagarmatha,Terai,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Saptari,Sagarmatha,Terai,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Saptari,Sagarmatha,Terai,Eastern,National Forest Development & Management Program,Forest and Land Conservation,1448.0
Saptari,Sagarmatha,Terai,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2086.7
Saptari,Sagarmatha,Terai,Eastern,District Soil Erosion Program,Forest and Land Conservation,7343.0
Saptari,Sagarmatha,Terai,Eastern,Agricultural Extension Program,Farm and Food Security,20500.0
Saptari,Sagarmatha,Terai,Eastern,Fishery Development Program,Farm and Food Security,19965.0
Saptari,Sagarmatha,Terai,Eastern,Crop Development Program,Farm and Food Security,737.0
Saptari,Sagarmatha,Terai,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4093.0
Saptari,Sagarmatha,Terai,Eastern,Horiculture Development Program,Farm and Food Security,725.0
Saptari,Sagarmatha,Terai,Eastern,Livestock Service Extension Program,Farm and Food Security,18528.0
Saptari,Sagarmatha,Terai,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,1350.0
Saptari,Sagarmatha,Terai,Eastern,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,3836.0
Saptari,Sagarmatha,Terai,Eastern,Veterinary Health Service Program,Farm and Food Security,320.0
Sarlahi,Janakpur,Terai,Central,Non-formal Education & National Literacy Campaign,Education,16029.76
Sarlahi,Janakpur,Terai,Central,School Sector Reform Program,Education,360555.0
Sarlahi,Janakpur,Terai,Central,Integrated District Health Program,"Health, Nutrition and Population",152909.2
Sarlahi,Janakpur,Terai,Central,Tuberculosis Control,"Health, Nutrition and Population",2221.0
Sarlahi,Janakpur,Terai,Central,Ayurveda Service Program,"Health, Nutrition and Population",3835.0
Sarlahi,Janakpur,Terai,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Sarlahi,Janakpur,Terai,Central,National Training Program,"Health, Nutrition and Population",150.0
Sarlahi,Janakpur,Terai,Central,National Forest Development & Management Program,Forest and Land Conservation,5264.0
Sarlahi,Janakpur,Terai,Central,Nepal Trade Interpretation Strategy - Forestry,Forest and Land Conservation,2570.0
Sarlahi,Janakpur,Terai,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2074.8
Sarlahi,Janakpur,Terai,Central,District Soil Erosion Program,Forest and Land Conservation,7146.0
Sarlahi,Janakpur,Terai,Central,Agricultural Extension Program,Farm and Food Security,20200.0
Sarlahi,Janakpur,Terai,Central,Fishery Development Program,Farm and Food Security,2647.0
Sarlahi,Janakpur,Terai,Central,Crop Development Program,Farm and Food Security,2769.0
Sarlahi,Janakpur,Terai,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,173.0
Sarlahi,Janakpur,Terai,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4238.0
Sarlahi,Janakpur,Terai,Central,Horiculture Development Program,Farm and Food Security,39241.0
Sarlahi,Janakpur,Terai,Central,Crop Protection and Pesticide Development,Farm and Food Security,2738.0
Sarlahi,Janakpur,Terai,Central,Livestock Service Extension Program,Farm and Food Security,18759.0
Sarlahi,Janakpur,Terai,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1400.0
Sarlahi,Janakpur,Terai,Central,Livestock Development Farms,Farm and Food Security,17306.0
Sarlahi,Janakpur,Terai,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,2691.0
Sarlahi,Janakpur,Terai,Central,Veterinary Health Service Program,Farm and Food Security,320.0
Sindhuli,Janakpur,Hill,Central,Non-formal Education & National Literacy Campaign,Education,22382.31
Sindhuli,Janakpur,Hill,Central,School Sector Reform Program,Education,264574.0
Sindhuli,Janakpur,Hill,Central,Integrated District Health Program,"Health, Nutrition and Population",91390.0
Sindhuli,Janakpur,Hill,Central,Tuberculosis Control,"Health, Nutrition and Population",2171.0
Sindhuli,Janakpur,Hill,Central,Ayurveda Service Program,"Health, Nutrition and Population",2865.0
Sindhuli,Janakpur,Hill,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",5000.0
Sindhuli,Janakpur,Hill,Central,National Training Program,"Health, Nutrition and Population",150.0
Sindhuli,Janakpur,Hill,Central,National Forest Development & Management Program,Forest and Land Conservation,3686.0
Sindhuli,Janakpur,Hill,Central,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2855.6
Sindhuli,Janakpur,Hill,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2638.0
Sindhuli,Janakpur,Hill,Central,District Soil Erosion Program,Forest and Land Conservation,9899.0
Sindhuli,Janakpur,Hill,Central,Agricultural Extension Program,Farm and Food Security,22400.0
Sindhuli,Janakpur,Hill,Central,Soil Test Service Program,Farm and Food Security,1325.0
Sindhuli,Janakpur,Hill,Central,Fishery Development Program,Farm and Food Security,255.0
Sindhuli,Janakpur,Hill,Central,Crop Development Program,Farm and Food Security,1049.0
Sindhuli,Janakpur,Hill,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,17408.0
Sindhuli,Janakpur,Hill,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5347.0
Sindhuli,Janakpur,Hill,Central,Crop Protection and Pesticide Development,Farm and Food Security,400.0
Sindhuli,Janakpur,Hill,Central,Livestock Service Extension Program,Farm and Food Security,15127.0
Sindhuli,Janakpur,Hill,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,300.0
Sindhuli,Janakpur,Hill,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1167.0
Sindhuli,Janakpur,Hill,Central,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,783.0
Sindhuli,Janakpur,Hill,Central,Veterinary Health Service Program,Farm and Food Security,377.0
Sindhupalchok,Bagmati,Mountain,Central,Non-formal Education & National Literacy Campaign,Education,28237.68
Sindhupalchok,Bagmati,Mountain,Central,School Sector Reform Program,Education,247776.0
Sindhupalchok,Bagmati,Mountain,Central,Integrated District Health Program,"Health, Nutrition and Population",62432.0
Sindhupalchok,Bagmati,Mountain,Central,Tuberculosis Control,"Health, Nutrition and Population",2096.0
Sindhupalchok,Bagmati,Mountain,Central,Ayurveda Service Program,"Health, Nutrition and Population",4335.0
Sindhupalchok,Bagmati,Mountain,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",5800.0
Sindhupalchok,Bagmati,Mountain,Central,National Training Program,"Health, Nutrition and Population",150.0
Sindhupalchok,Bagmati,Mountain,Central,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,3279.0
Sindhupalchok,Bagmati,Mountain,Central,National Forest Development & Management Program,Forest and Land Conservation,480.0
Sindhupalchok,Bagmati,Mountain,Central,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2985.0
Sindhupalchok,Bagmati,Mountain,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3362.0
Sindhupalchok,Bagmati,Mountain,Central,District Soil Erosion Program,Forest and Land Conservation,7296.0
Sindhupalchok,Bagmati,Mountain,Central,Community Development and Forest-Watershed Protection Project,Forest and Land Conservation,7430.0
Sindhupalchok,Bagmati,Mountain,Central,Agricultural Extension Program,Farm and Food Security,18300.0
Sindhupalchok,Bagmati,Mountain,Central,Fishery Development Program,Farm and Food Security,280.0
Sindhupalchok,Bagmati,Mountain,Central,Crop Development Program,Farm and Food Security,1168.0
Sindhupalchok,Bagmati,Mountain,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,11367.0
Sindhupalchok,Bagmati,Mountain,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6950.0
Sindhupalchok,Bagmati,Mountain,Central,Horiculture Development Program,Farm and Food Security,872.0
Sindhupalchok,Bagmati,Mountain,Central,Crop Protection and Pesticide Development,Farm and Food Security,4013.0
Sindhupalchok,Bagmati,Mountain,Central,Livestock Service Extension Program,Farm and Food Security,17295.0
Sindhupalchok,Bagmati,Mountain,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1300.0
Sindhupalchok,Bagmati,Mountain,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,245.0
Sindhupalchok,Bagmati,Mountain,Central,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,1087.0
Sindhupalchok,Bagmati,Mountain,Central,Veterinary Health Service Program,Farm and Food Security,386.0
Sindhupalchok,Bagmati,Mountain,Central,Food Nutrition and Technology Program,Farm and Food Security,2341.0
Siraha,Sagarmatha,Terai,Eastern,Non-formal Education & National Literacy Campaign,Education,16771.91
Siraha,Sagarmatha,Terai,Eastern,School Sector Reform Program,Education,281060.0
Siraha,Sagarmatha,Terai,Eastern,Integrated District Health Program,"Health, Nutrition and Population",144625.0
Siraha,Sagarmatha,Terai,Eastern,Tuberculosis Control,"Health, Nutrition and Population",3841.0
Siraha,Sagarmatha,Terai,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",2865.0
Siraha,Sagarmatha,Terai,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Siraha,Sagarmatha,Terai,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Siraha,Sagarmatha,Terai,Eastern,National Forest Development & Management Program,Forest and Land Conservation,1247.0
Siraha,Sagarmatha,Terai,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,1710.0
Siraha,Sagarmatha,Terai,Eastern,District Soil Erosion Program,Forest and Land Conservation,7532.0
Siraha,Sagarmatha,Terai,Eastern,Agricultural Extension Program,Farm and Food Security,20200.0
Siraha,Sagarmatha,Terai,Eastern,Fishery Development Program,Farm and Food Security,12408.0
Siraha,Sagarmatha,Terai,Eastern,Crop Development Program,Farm and Food Security,853.0
Siraha,Sagarmatha,Terai,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2695.0
Siraha,Sagarmatha,Terai,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5718.0
Siraha,Sagarmatha,Terai,Eastern,Horiculture Development Program,Farm and Food Security,725.0
Siraha,Sagarmatha,Terai,Eastern,Livestock Service Extension Program,Farm and Food Security,17732.0
Siraha,Sagarmatha,Terai,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,1600.0
Siraha,Sagarmatha,Terai,Eastern,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,14702.0
Siraha,Sagarmatha,Terai,Eastern,Veterinary Health Service Program,Farm and Food Security,320.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Non-formal Education & National Literacy Campaign,Education,1342.78
Solukhumbu,Sagarmatha,Mountain,Eastern,School Sector Reform Program,Education,110373.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Integrated District Health Program,"Health, Nutrition and Population",50531.9
Solukhumbu,Sagarmatha,Mountain,Eastern,Tuberculosis Control,"Health, Nutrition and Population",1732.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Solukhumbu,Sagarmatha,Mountain,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",3175.0
Solukhumbu,Sagarmatha,Mountain,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Solukhumbu,Sagarmatha,Mountain,Eastern,National Forest Development & Management Program,Forest and Land Conservation,518.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2278.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Wildlife Conservation Project,Forest and Land Conservation,17635.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Agricultural Extension Program,Farm and Food Security,15700.0
Solukhumbu,Sagarmatha,Mountain,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2027.0
Solukhumbu,Sagarmatha,Mountain,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,11438.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Horiculture Development Program,Farm and Food Security,10817.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Livestock Service Extension Program,Farm and Food Security,14868.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Livestock Development Farms,Farm and Food Security,10900.0
Solukhumbu,Sagarmatha,Mountain,Eastern,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,245.0
Solukhumbu,Sagarmatha,Mountain,Eastern,Veterinary Health Service Program,Farm and Food Security,161.0
Sunsari,Kosi,Terai,Eastern,Non-formal Education & National Literacy Campaign,Education,21138.53
Sunsari,Kosi,Terai,Eastern,School Sector Reform Program,Education,323026.0
Sunsari,Kosi,Terai,Eastern,Integrated District Health Program,"Health, Nutrition and Population",91937.0
Sunsari,Kosi,Terai,Eastern,Tuberculosis Control,"Health, Nutrition and Population",2748.0
Sunsari,Kosi,Terai,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Sunsari,Kosi,Terai,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Sunsari,Kosi,Terai,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Sunsari,Kosi,Terai,Eastern,National Forest Development & Management Program,Forest and Land Conservation,5296.0
Sunsari,Kosi,Terai,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2316.0
Sunsari,Kosi,Terai,Eastern,Wildlife Conservation Program,Forest and Land Conservation,22355.0
